contractor_id,avg_cost_overrun_pct,avg_delay_days,on_time_delivery_rate,ghost_billing_flags,litigation_count,shell_risk_score,solvency_score,max_budget_handled_cr,budget_scale_ratio,blacklisted,is_fraud_or_default,eligibility_tier
1,0.22,24.8,0.934,0,0,1.3,97.3,424.6,0.49,0,0,APPROVED
2,5.53,11.4,0.874,0,0,7.0,81.7,325.33,0.43,0,0,APPROVED
3,1.24,0.0,0.889,0,0,9.3,76.1,323.4,0.45,0,0,APPROVED
4,4.49,11.0,0.967,0,0,10.6,85.1,104.92,0.75,0,0,APPROVED
5,2.43,25.8,0.857,0,0,8.7,79.3,486.31,1.0,0,0,APPROVED
6,61.1,233.1,0.368,5,3,71.5,16.2,19.76,2.68,0,1,DISQUALIFIED
7,14.53,79.2,0.467,0,1,44.6,59.3,9.97,2.53,0,1,DISQUALIFIED
8,29.34,146.1,0.673,0,1,25.8,42.9,26.58,5.93,0,1,DISQUALIFIED
9,2.56,13.8,0.979,0,0,13.4,85.9,103.82,0.94,0,0,APPROVED
10,19.02,162.3,0.614,0,2,27.8,40.6,7.7,2.67,0,1,DISQUALIFIED
11,18.55,20.0,0.682,0,2,15.7,56.5,43.18,0.96,0,0,CONDITIONAL
12,52.29,250.1,0.396,4,5,71.2,39.1,26.18,4.27,1,1,DISQUALIFIED
13,2.36,14.5,0.984,0,1,1.1,86.7,237.83,0.5,0,0,APPROVED
14,2.27,26.8,0.912,0,0,8.3,91.2,213.63,1.17,0,0,APPROVED
15,47.78,119.6,0.173,2,5,81.6,16.4,18.36,4.65,0,1,DISQUALIFIED
16,0.52,25.1,0.92,0,0,10.4,92.5,156.94,0.96,0,0,APPROVED
17,6.51,40.9,0.876,0,0,5.5,79.3,68.35,0.83,0,0,APPROVED
18,18.46,65.2,0.671,0,2,14.4,68.8,50.94,1.74,0,0,CONDITIONAL
19,1.04,15.2,0.961,0,0,8.8,87.2,158.83,0.38,0,0,APPROVED
20,33.23,235.6,0.358,3,4,89.0,39.2,36.61,4.16,1,1,DISQUALIFIED
21,3.73,9.3,1.0,0,0,4.1,91.4,156.76,0.59,0,0,APPROVED
22,32.74,143.7,0.621,0,2,17.8,49.2,11.63,3.84,0,1,DISQUALIFIED
23,58.54,205.6,0.401,3,4,81.3,20.3,31.67,2.27,0,1,DISQUALIFIED
24,21.23,61.9,0.759,1,3,31.3,60.9,50.81,1.65,0,1,DISQUALIFIED
25,3.54,1.3,0.929,0,0,2.4,89.1,495.52,0.43,0,0,APPROVED
26,20.31,73.9,0.745,0,2,19.0,60.9,84.75,1.61,0,0,CONDITIONAL
27,48.29,272.3,0.424,3,5,91.3,39.0,20.14,2.63,0,1,DISQUALIFIED
28,18.04,64.0,0.657,0,1,24.8,55.6,22.99,1.62,0,0,CONDITIONAL
29,3.16,3.8,0.884,0,0,2.2,76.2,289.11,0.79,0,0,APPROVED
30,22.08,20.0,0.715,0,1,21.0,56.6,22.03,1.76,0,0,CONDITIONAL
31,20.28,168.1,0.547,0,2,36.4,56.5,12.0,7.75,0,1,DISQUALIFIED
