project_id,schedule_slippage_pct,financial_physical_gap,expenditure_burn_velocity,milestones_delayed_ratio,contractor_health_deficit,resource_deficit,material_deficit,previous_delays_count,is_doomed,doom_level
1,0.0,2.28,0.194,0.009,18.0,14.0,15.6,0,0,STABLE
2,34.24,50.43,0.874,0.573,54.1,63.1,60.8,2,1,CRITICAL_DOOM
3,11.86,10.55,0.628,0.314,40.7,29.0,35.3,1,0,MODERATE_RISK
4,0.0,2.5,0.139,0.142,19.5,17.1,9.6,0,0,STABLE
5,8.89,14.03,0.673,0.209,43.2,30.2,38.3,1,0,MODERATE_RISK
6,7.36,16.18,0.839,0.394,43.8,42.9,37.0,2,0,MODERATE_RISK
7,0.0,-5.33,0.263,0.124,10.4,9.2,13.1,0,0,STABLE
8,32.58,51.12,0.851,0.826,66.2,68.2,69.3,2,1,CRITICAL_DOOM
9,0.0,5.4,0.138,0.047,9.9,15.9,14.6,1,0,STABLE
10,15.81,11.13,0.766,0.34,40.4,34.9,35.5,1,0,MODERATE_RISK
11,0.0,5.17,0.405,0.136,8.7,11.2,16.3,0,0,STABLE
12,0.0,-1.01,0.658,0.121,14.5,18.1,17.1,0,0,STABLE
13,48.97,46.76,0.966,0.627,48.3,55.7,60.7,4,1,CRITICAL_DOOM
14,38.04,42.65,0.904,0.589,48.6,58.4,73.6,3,1,CRITICAL_DOOM
15,9.28,23.42,0.84,0.441,30.0,34.9,31.0,1,0,MODERATE_RISK
16,2.18,10.85,0.131,0.042,18.6,8.6,7.2,0,0,STABLE
17,44.14,33.5,0.949,0.595,66.8,59.2,65.8,3,1,CRITICAL_DOOM
18,9.05,11.6,0.514,0.348,38.6,25.3,35.2,1,0,MODERATE_RISK
19,16.68,9.51,0.635,0.434,27.8,31.8,27.3,2,0,MODERATE_RISK
20,44.51,32.69,0.956,0.722,60.9,56.0,52.3,4,1,CRITICAL_DOOM
21,26.48,56.91,0.895,0.79,71.9,72.2,69.5,3,1,CRITICAL_DOOM
