project_id,name,department,location,planned_duration_days,elapsed_duration_days,physical_progress,expected_progress,financial_progress,approved_budget,released_funds,expenditure,milestones_delayed,milestones_total,resource_availability,contractor_performance,material_availability,previous_delays,status,delay_occurred,delay_days
1,Education & Social Infrastructure Project #1,Education & Social Infrastructure,Tamil Nadu,730,531,76.4,79.2,73.5,153150000.0,125830000.0,92490000.0,0,6,66.3,95.4,84.6,1,ON_TRACK,0,0
2,Power & Renewable Energy Project #2,Power & Renewable Energy,Tripura,900,732,72.5,86.2,73.9,111890000.0,94630000.0,69930000.0,2,10,94.2,64.2,69.8,1,AT_RISK,0,0
3,Railways Project #3,Railways,Odisha,1095,1138,89.1,97.7,85.2,185650000.0,169610000.0,144510000.0,1,4,85.9,52.2,76.3,2,AT_RISK,0,0
4,Railways Project #4,Railways,Assam,180,76,40.1,40.9,35.6,321840000.0,140780000.0,50120000.0,0,8,64.7,97.9,74.0,0,ON_TRACK,0,0
5,Education & Social Infrastructure Project #5,Education & Social Infrastructure,Sikkim,365,326,74.3,89.7,82.2,13410000.0,12380000.0,10180000.0,2,4,60.4,74.5,62.9,2,CRITICAL,1,154
6,Railways Project #6,Railways,Odisha,365,100,19.7,21.1,24.2,343550000.0,118560000.0,28690000.0,0,5,57.1,74.3,80.6,0,ON_TRACK,0,0
7,Digital Governance Project #7,Digital Governance,Mizoram,270,131,40.1,49.2,40.3,57130000.0,31250000.0,12590000.0,1,5,67.3,74.6,72.0,2,AT_RISK,0,0
8,Urban Development Project #8,Urban Development,Gujarat,900,919,88.6,97.4,97.1,307150000.0,307150000.0,298240000.0,0,4,39.8,71.6,95.3,0,ON_TRACK,0,0
9,Water Resources Project #9,Water Resources,Gujarat,270,182,65.2,76.1,74.8,202620000.0,179770000.0,134470000.0,1,6,90.2,76.1,64.7,0,AT_RISK,0,0
10,Water Resources Project #10,Water Resources,Assam,540,333,62.4,68.1,62.2,93050000.0,67710000.0,42120000.0,1,5,63.4,80.7,71.0,2,AT_RISK,0,0
11,Health & Family Welfare Project #11,Health & Family Welfare,Gujarat,540,615,82.1,98.0,98.3,353960000.0,353960000.0,347940000.0,2,8,47.4,63.4,67.8,2,AT_RISK,0,0
12,Education & Social Infrastructure Project #12,Education & Social Infrastructure,Meghalaya,270,190,68.3,77.2,64.1,270360000.0,201440000.0,129120000.0,1,8,57.3,85.2,59.8,0,CRITICAL,1,109
